what,kind,bundleId,bundleVersion,description,time
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1493056838179
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493056840157
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493056843479
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493056844954
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493056858509
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493056859584
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493056859883
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493056859961
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493056859997
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493056860979
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493056863097
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493056863226
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493057000782
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493057355438
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493057358522
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493057737291
activated,editor,com.esri.arcgis.core.addins,10.0.0.2414,"com.esri.arcgis.core.addins.editor",1493057739731
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493057741041
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493057745166
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493057748264
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493057782294
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493058407037
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493058411346
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493062972268
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1493062972289
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493062973213
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1493063081515
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493063081547
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1493063095092
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1493063097451
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1493063115226
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1493063115392
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1493063115792
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1493063117754
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1493063117928
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1493063118120
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1493063129051
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordNext",1493063129240
